city,timestamp,temperature,season
New York,2010-01-01,-7.337541517796429,winter
New York,2010-01-02,1.0355851538458558,winter
New York,2010-01-03,-3.3784222890660196,winter
New York,2010-01-04,3.9113348811773645,winter
New York,2010-01-05,-6.07138649907644,winter
New York,2010-01-06,-14.26407539299452,winter
New York,2010-01-07,0.6009339764950171,winter
New York,2010-01-08,1.4477937975781494,winter
New York,2010-01-09,-9.698616092305768,winter
New York,2010-01-10,2.524120929088432,winter
New York,2010-01-11,-1.0049169894130343,winter
New York,2010-01-12,-0.16553156641834238,winter
New York,2010-01-13,-4.596272017855517,winter
New York,2010-01-14,-10.109827479190477,winter
New York,2010-01-15,3.1229903083340904,winter
New York,2010-01-16,-8.150858044812484,winter
New York,2010-01-17,-1.655369353895054,winter
New York,2010-01-18,4.702314730380002,winter
New York,2010-01-19,8.016327217109417,winter
New York,2010-01-20,3.323041927924108,winter
New York,2010-01-21,3.018991563349836,winter
New York,2010-01-22,-2.5016813315157482,winter
New York,2010-01-23,2.0383230466461475,winter
New York,2010-01-24,1.5706101845251776,winter
New York,2010-01-25,-3.7038445026268962,winter
New York,2010-01-26,1.6205972062840042,winter
New York,2010-01-27,-3.4966916997965427,winter
New York,2010-01-28,3.440923021425631,winter
New York,2010-01-29,-0.5791680342049959,winter
New York,2010-01-30,1.698741977318115,winter
New York,2010-01-31,-1.4784717061851418,winter
New York,2010-02-01,-4.736257753138632,winter
New York,2010-02-02,-0.7690993216553403,winter
New York,2010-02-03,-0.20519571537781883,winter
New York,2010-02-04,11.17469025583377,winter
New York,2010-02-05,-9.811537643956864,winter
New York,2010-02-06,5.912951381499005,winter
New York,2010-02-07,5.65746210299516,winter
New York,2010-02-08,-2.7588196933744884,winter
New York,2010-02-09,-7.563053174603835,winter
New York,2010-02-10,-5.304136260554672,winter
New York,2010-02-11,2.49963284746933,winter
New York,2010-02-12,3.7699679860827096,winter
New York,2010-02-13,-0.826184804207279,winter
New York,2010-02-14,2.0744807353521635,winter
New York,2010-02-15,4.333440341020141,winter
New York,2010-02-16,2.555003607384872,winter
New York,2010-02-17,7.611680718838257,winter
New York,2010-02-18,-5.451670742518101,winter
New York,2010-02-19,0.1578933869846822,winter
New York,2010-02-20,1.4059875300482048,winter
New York,2010-02-21,-1.7748953229623057,winter
New York,2010-02-22,6.203730955863066,winter
New York,2010-02-23,-0.7665525360405699,winter
New York,2010-02-24,2.3311848385864042,winter
New York,2010-02-25,-1.8645132613112136,winter
New York,2010-02-26,-3.5231517168317024,winter
New York,2010-02-27,1.2690798772518266,winter
New York,2010-02-28,-3.3338055854150954,winter
New York,2010-03-01,12.690409455318155,spring
New York,2010-03-02,7.32205063444218,spring
New York,2010-03-03,18.79156102983463,spring
New York,2010-03-04,9.790486461200427,spring
New York,2010-03-05,6.48591263018576,spring
New York,2010-03-06,8.241321857383028,spring
New York,2010-03-07,10.881320281962171,spring
New York,2010-03-08,9.713738418622603,spring
New York,2010-03-09,4.398014098355772,spring
New York,2010-03-10,18.488905625388288,spring
New York,2010-03-11,3.0487916337072054,spring
New York,2010-03-12,17.019838355543868,spring
New York,2010-03-13,1.7780306952957592,spring
New York,2010-03-14,14.245674460387404,spring
New York,2010-03-15,7.5947300894737415,spring
New York,2010-03-16,0.20548934564693977,spring
New York,2010-03-17,11.939332492720546,spring
New York,2010-03-18,-2.15717539476471,spring
New York,2010-03-19,1.6645204276031855,spring
New York,2010-03-20,14.35990586406431,spring
New York,2010-03-21,7.903454936351647,spring
New York,2010-03-22,15.59717434929739,spring
New York,2010-03-23,17.10108471892639,spring
New York,2010-03-24,5.078344688791555,spring
New York,2010-03-25,6.153038601796449,spring
New York,2010-03-26,16.45413617050824,spring
